state,date,income_mean,income_median,year,avg_annual_cpi,real_median_income
Johor,2012-01-01,4658,3650.0,2012,105.175,3470.406465414785
Johor,2014-01-01,6207,5197.0,2014,111.64166666666667,4655.072031051728
Johor,2016-01-01,6928,5652.0,2016,117.99166666666667,4790.168797231443
Johor,2019-01-01,8013,6427.0,2019,125.08333333333333,5138.1745502998
Johor,2020-01-01,7264,5690.0,2020,123.25833333333333,4616.320735582449
Johor,2022-01-01,8517,6879.0,2022,130.625,5266.22009569378
Kedah,2012-01-01,3425,2633.0,2012,104.97500000000001,2508.216241962372
Kedah,2014-01-01,4478,3451.0,2014,110.50833333333333,3122.84141467461
Kedah,2016-01-01,4971,3811.0,2016,114.35000000000001,3332.7503279405337
Kedah,2019-01-01,5522,4325.0,2019,119.47500000000001,3620.004184975936
Kedah,2020-01-01,5005,3829.0,2020,117.35833333333333,3262.6571043101612
Kedah,2022-01-01,5550,4402.0,2022,123.47500000000001,3565.094148613079
Kelantan,2012-01-01,3168,2276.0,2012,105.71666666666665,2152.9244836828
Kelantan,2014-01-01,3715,2716.0,2014,111.61666666666667,2433.3283559802894
Kelantan,2016-01-01,4214,3079.0,2016,115.35493479829108,2669.15325762519
Kelantan,2019-01-01,4874,3563.0,2019,120.55,2955.6200746578183
Kelantan,2020-01-01,4411,3010.0,2020,118.78333333333335,2534.025536691455
Kelantan,2022-01-01,4885,3614.0,2022,125.875,2871.1022840119167
Melaka,2012-01-01,4759,3923.0,2012,104.75833333333333,3744.809482141437
Melaka,2014-01-01,6046,5029.0,2014,110.20833333333333,4563.175803402647
Melaka,2016-01-01,6849,5588.0,2016,114.64999999999999,4873.964238988226
Melaka,2019-01-01,7741,6054.0,2019,120.35000000000001,5030.328209389281
Melaka,2020-01-01,7186,5447.0,2020,118.075,4613.1695955960195
Melaka,2022-01-01,8057,6210.0,2022,124.19166666666666,5000.335502918875
Negeri Sembilan,2012-01-01,4576,3575.0,2012,105.06666666666666,3402.6015228426395
Negeri Sembilan,2014-01-01,5271,4128.0,2014,110.43333333333334,3738.0018110473893
Negeri Sembilan,2016-01-01,5887,4579.0,2016,115.40833333333335,3967.6510939418004
Negeri Sembilan,2019-01-01,6707,5005.0,2019,122.48333333333333,4086.2702408490954
Negeri Sembilan,2020-01-01,6184,4478.0,2020,120.5,3716.1825726141083
Negeri Sembilan,2022-01-01,6788,5226.0,2022,126.98333333333333,4115.500721879512
Pahang,2012-01-01,3745,3067.0,2012,104.96666666666665,2921.8799618926646
Pahang,2014-01-01,4343,3389.0,2014,110.58333333333333,3064.6571213263
Pahang,2016-01-01,5012,3979.0,2016,114.425,3477.386934673367
Pahang,2019-01-01,5667,4440.0,2019,119.0,3731.09243697479
Pahang,2020-01-01,5144,4033.0,2020,117.60000000000001,3429.421768707483
Pahang,2022-01-01,5777,4753.0,2022,124.68333333333334,3812.057211602727
Perak,2012-01-01,3548,2665.0,2012,104.25833333333333,2556.150587483015
Perak,2014-01-01,4268,3451.0,2014,109.05,3164.6033929390187
Perak,2016-01-01,5065,4006.0,2016,112.34166666666665,3565.9075736221353
Perak,2019-01-01,5645,4273.0,2019,117.49166666666667,3636.8536775657844
Perak,2020-01-01,5081,3759.0,2020,115.99166666666667,3240.750053883181
Perak,2022-01-01,5779,4494.0,2022,122.95,3655.1443676291174
Perlis,2012-01-01,3538,2387.0,2012,104.15833333333335,2291.703336266901
Perlis,2014-01-01,4445,3500.0,2014,108.28333333333332,3232.2610435585657
Perlis,2016-01-01,4998,4204.0,2016,110.86666666666667,3791.9422730006013
Perlis,2019-01-01,5476,4594.0,2019,115.61666666666667,3973.4755658065446
Perlis,2020-01-01,4971,4043.0,2020,113.14999999999999,3573.133009279717
Perlis,2022-01-01,5664,4713.0,2022,120.16666666666667,3922.0527045769763
